anon_id,anon_filename_he,anon_filename_ihc,point_id,ihc_x,ihc_y,mpp_ihc_10X,mpp_he_10X,ihc_antibody,he_x,he_y
56,56_HE_val.ndpi,56_KI67_val.ndpi,56_0,18138.090038297963,16024.374525466843,0.9109542245502164,0.9109542245502164,KI67,16328.998516390706,13632.982738650182
56,56_HE_val.ndpi,56_KI67_val.ndpi,56_1,18419.654934653616,15768.124272235533,0.9109542245502164,0.9109542245502164,KI67,16493.737089653874,13359.703947691522
56,56_HE_val.ndpi,56_KI67_val.ndpi,56_2,34417.07662578497,7128.9743678241675,0.9109542245502164,0.9109542245502164,KI67,31930.200874355458,4515.547204765068
56,56_HE_val.ndpi,56_KI67_val.ndpi,56_3,33395.82409287772,8808.367421938305,0.9109542245502164,0.9109542245502164,KI67,30761.615035751616,6306.917277027328
56,56_HE_val.ndpi,56_KI67_val.ndpi,56_4,38160.47678659845,9286.92436174258,0.9109542245502164,0.9109542245502164,KI67,36586.82620444855,6993.289068439348
56,56_HE_val.ndpi,56_KI67_val.ndpi,56_5,39677.37721547669,10475.87748753503,0.9109542245502164,0.9109542245502164,KI67,37712.74716139979,8187.571329260481
56,56_HE_val.ndpi,56_KI67_val.ndpi,56_6,38372.12822202949,10362.089782479621,0.9109542245502164,0.9109542245502164,KI67,35848.256095883706,7909.296949861117
56,56_HE_val.ndpi,56_KI67_val.ndpi,56_7,38373.61667308053,10986.325723568818,0.9109542245502164,0.9109542245502164,KI67,35877.70604711232,8349.309880952354
56,56_HE_val.ndpi,56_KI67_val.ndpi,56_8,38896.7634395518,10727.670871805827,0.9109542245502164,0.9109542245502164,KI67,36578.032540026754,8240.407321298077
56,56_HE_val.ndpi,56_KI67_val.ndpi,56_9,38190.19065169832,12104.016280984497,0.9109542245502164,0.9109542245502164,KI67,36007.24620564548,9578.225014847918
56,56_HE_val.ndpi,56_KI67_val.ndpi,56_10,38119.853705414665,11678.996690456006,0.9109542245502164,0.9109542245502164,KI67,35736.32380632775,9083.49668088836
56,56_HE_val.ndpi,56_KI67_val.ndpi,56_11,36952.51407964421,11075.95512492113,0.9109542245502164,0.9109542245502164,KI67,33686.189626862324,8808.651934944708
56,56_HE_val.ndpi,56_KI67_val.ndpi,56_12,40636.73435091738,6261.909012265401,0.9109542245502164,0.9109542245502164,KI67,40733.09186399835,4493.543603812204
56,56_HE_val.ndpi,56_KI67_val.ndpi,56_13,39966.79268933024,7318.564966313432,0.9109542245502164,0.9109542245502164,KI67,39136.5168105943,4945.265444514634
56,56_HE_val.ndpi,56_KI67_val.ndpi,56_14,40375.64803167078,6779.043623359895,0.9109542245502164,0.9109542245502164,KI67,40062.49266175509,4733.169888668114
56,56_HE_val.ndpi,56_KI67_val.ndpi,56_15,41620.67385419861,11864.972448547429,0.9109542245502164,0.9109542245502164,KI67,41545.55832749634,9955.529137124919
56,56_HE_val.ndpi,56_KI67_val.ndpi,56_16,41732.54484431499,11931.817162898078,0.9109542245502164,0.9109542245502164,KI67,41690.3689084182,10003.889327146873
56,56_HE_val.ndpi,56_KI67_val.ndpi,56_17,40273.04382779,12697.181265286586,0.9109542245502164,0.9109542245502164,KI67,39945.14613886869,10428.07829297233
56,56_HE_val.ndpi,56_KI67_val.ndpi,56_18,41058.9213238547,12529.24485453594,0.9109542245502164,0.9109542245502164,KI67,41210.92899391725,10385.205439166355
56,56_HE_val.ndpi,56_KI67_val.ndpi,56_19,29787.882731009686,20704.538724129863,0.9109542245502164,0.9109542245502164,KI67,28998.52633560978,19224.329835604818
56,56_HE_val.ndpi,56_KI67_val.ndpi,56_20,30171.64043434752,20100.665377125293,0.9109542245502164,0.9109542245502164,KI67,28928.306307986208,18442.354226794767
56,56_HE_val.ndpi,56_KI67_val.ndpi,56_21,29989.87429423132,20721.962357021555,0.9109542245502164,0.9109542245502164,KI67,29201.45684368623,19221.500503491196
